id,gender,age
6,M,41
23,M,44
30,M,28
33,M,38
37,M,36
40,M,27
43,M,40
68,M,19
69,M,40
70,M,32
71,M,39
72,M,31
73,M,24
74,M,21
75,M,26
76,M,32
77,M,35
78,M,27
80,M,24
81,M,35
82,M,43
83,M,33
84,M,34
91,M,20
115,M,25
120,M,22
123,M,35
125,M,19
126,M,39
127,M,30
130,M,24
133,M,35
142,M,42
145,M,25
150,M,19
151,M,38
156,M,19
157,M,34
158,M,24
159,M,22
161,M,19
163,M,36
164,M,25
166,M,40
168,M,28
174,M,21
176,M,33
177,M,37
179,M,26
180,F,45
182,F,44
184,F,37
190,F,36
192,F,24
197,F,45
198,F,45
200,F,24
202,F,33
203,F,19
207,F,29
209,F,28
210,F,40
213,F,45
214,F,38
216,F,30
217,F,31
223,F,31
226,F,30
227,F,21
228,F,27
230,F,43
233,F,43
235,F,39
238,F,24
246,F,30
249,F,45
254,F,38
257,F,28
258,F,42
263,F,22
266,F,27
274,F,43
279,F,22
280,F,36
287,F,26
290,F,27
291,F,25
294,F,38
295,F,27
297,F,28
298,F,44
302,F,30
304,F,31
305,F,42
307,F,35
309,F,33
310,F,25
311,F,29
313,F,30
314,F,26
315,F,34
318,F,39
320,F,40
324,F,24
329,F,38
332,F,39
340,F,35
344,F,38
