name,latitude,longitude,category
Museo Soumaya,19.44076522,-99.20459032,cultural
Museo Jumex,19.44055276,-99.20373201,cultural
Museo Nacional de Antropolog’a,19.42652978,-99.1862011,cultural
Castillo de Chapultepec,19.42056003,-99.18218851,cultural
Museo de Historia Natural,19.41007703,-99.20117855,cultural
Museo Nacional de la Revoluci—n,19.436228,-99.154615,cultural
Museo Mural Diego Rivera,19.43618,-99.146956,cultural
Museo de Memoria y Tolerancia,19.434175,-99.144653,cultural
Museo Franz Meyer,19.437241,-99.14328,cultural
Museo de Arte Popular,19.433779,-99.146322,cultural
Paseo de la Reforma,19.4231351,-99.1758022,cultural
Monumento a la Revoluci—n,19.436228,-99.154615,cultural
Alameda Central,19.4344164,-99.1462469,cultural
Palacio de Bellas Artes,19.4351752,-99.1404426,cultural
Palacio Postal,19.435559,-99.140237,cultural
Z—calo,19.4331788,-99.1338453,cultural
Mercado de La Ciudadela,19.430473,-99.149138,comercio
Mercado de Medell’n,19.4088749,-99.1637221,comida
Mercado de San Juan,19.4247631,-99.1436501,comida
Mercado de Sonora,19.42407,-99.1262748,comercio
Mercado de La Merced,19.4247378,-99.1263391,comercio
